Address,Town,Mature,Lease Commence Date,Floor Area Map,Lat,Long,Nearest_MRT,Distance_to_MRT,Nearest_Mall,Distance_to_Mall
19 CANTONMENT CL,BUKIT MERAH,1,2002,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.2738835418848,103.839003328569,Outram Park MRT,0.717,100 AM,0.503
19 CHAI CHEE RD,BEDOK,1,1972,{'3 ROOM': 65.0},1.32723388955932,103.922217484759,Bedok MRT,0.936,Bedok Mall,0.83
19 DOVER CRES,QUEENSTOWN,1,2003,"{'4 ROOM': 92.0, '5 ROOM': 111.0}",1.30783587059427,103.783635854778,Dover MRT,0.683,The Star Vista,0.541
19 EUNOS CRES,GEYLANG,1,1977,{'3 ROOM': 65.0},1.32427583956643,103.903205459225,Eunos MRT,0.5,Singpost Centre,1.095
19 GHIM MOH RD,QUEENSTOWN,1,1977,"{'3 ROOM': 65.0, '5 ROOM': 130.0}",1.31143852315951,103.788298892377,Buona Vista MRT,0.618,The Star Vista,0.497
19 HOUGANG AVE 3,HOUGANG,0,1978,"{'3 ROOM': 73.0, '4 ROOM': 98.0}",1.36378961600309,103.891813266061,Hougang MRT,0.729,Heartland Mall Kovan,0.877
19 JLN MEMBINA,BUKIT MERAH,1,2003,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.2855704164404,103.826276204595,Tiong Bahru MRT,0.106,Tiong Bahru Plaza,0.128
19 JLN TENTERAM,KALLANG/WHAMPOA,1,2004,"{'4 ROOM': 85.0, '5 ROOM': 105.0}",1.32760704104366,103.859860478714,Boon Keng MRT,0.887,The Poiz Centre,1.024
19 JOO SENG RD,TOA PAYOH,1,1988,{'5 ROOM': 120.0},1.33464636166187,103.880994623053,Tai Seng MRT,0.824,The Woodleigh Mall,1.132
19 LIM LIAK ST,BUKIT MERAH,1,1973,{'3 ROOM': 88.0},1.28549378363945,103.832599980169,Havelock MRT,0.352,Tiong Bahru Plaza,0.63
19 MARINE TER,MARINE PARADE,1,1975,"{'3 ROOM': 65.0, '4 ROOM': 88.0}",1.30452210196584,103.915054010998,Marine Terrace MRT,0.238,i12 Katong,1.115
19 MARSILING LANE,WOODLANDS,0,1987,{'3 ROOM': 60.0},1.44328204285332,103.777294228046,Woodlands North MRT,1.087,Causeway Point,1.235
19 QUEEN'S CL,QUEENSTOWN,1,1996,"{'4 ROOM': 108.0, '5 ROOM': 133.0}",1.29238272764571,103.800196306719,Queenstown MRT,0.697,Anchorpoint,0.68
19 ST. GEORGE'S RD,KALLANG/WHAMPOA,1,1984,{'4 ROOM': 91.0},1.3244455415621,103.8626105247,Boon Keng MRT,0.505,The Poiz Centre,1.001
19 TECK WHYE LANE,CHOA CHU KANG,0,1981,"{'3 ROOM': 68.0, '4 ROOM': 93.0}",1.37939429441995,103.752949446949,Bukit Panjang MRT,0.916,Junction 10,0.809
19 TOH YI DR,BUKIT TIMAH,1,1988,"{'3 ROOM': 64.0, '4 ROOM': 84.0}",1.33996269630769,103.77389767866,Beauty World MRT,0.231,Kap Mall,0.688
190 BISHAN ST 13,BISHAN,1,1987,"{'5 ROOM': 121.0, 'EXECUTIVE': 150.0}",1.35055492734245,103.852044535915,Bishan MRT,0.227,Junction 8,0.365
190 BT BATOK WEST AVE 6,BUKIT BATOK,0,1997,"{'4 ROOM': 100.0, '5 ROOM': 116.0}",1.3453856199951,103.746045480153,Bukit Batok MRT,0.564,West Mall,0.631
190 PASIR RIS ST 12,PASIR RIS,1,1993,"{'4 ROOM': 106.0, '5 ROOM': 123.0}",1.36552479300537,103.958657337254,Tampines East MRT,1.13,White Sands,0.245
190 PUNGGOL CTRL,PUNGGOL,0,2004,"{'5 ROOM': 110.0, 'EXECUTIVE': 128.0}",1.39924142015378,103.910054264326,Punggol MRT,1.065,Rivervale Mall,0.999
190A RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 96.0, '5 ROOM': 115.0}",1.39508286035406,103.902774420891,Sengkang MRT,0.894,Rivervale Mall,0.372
190B RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 95.0, '5 ROOM': 115.0}",1.39415593015611,103.902375946247,Sengkang MRT,0.813,Rivervale Mall,0.319
191 BISHAN ST 13,BISHAN,1,1987,"{'4 ROOM': 88.0, '5 ROOM': 121.0}",1.35054161207715,103.851371061032,Bishan MRT,0.155,Junction 8,0.29
191 BOON LAY DR,JURONG WEST,0,1978,{'2 ROOM': 44.0},1.34376568912059,103.712164032913,Boon Lay MRT,0.888,Jurong Point,0.775
191 BT BATOK WEST AVE 6,BUKIT BATOK,0,1997,"{'4 ROOM': 100.0, '5 ROOM': 120.0}",1.34551716408486,103.745348433929,Bukit Batok MRT,0.611,West Mall,0.666
191 LOR 4 TOA PAYOH,TOA PAYOH,1,1974,{'4 ROOM': 84.0},1.33189327620475,103.851025403234,Toa Payoh MRT,0.4,Square 2,1.459
191 PASIR RIS ST 12,PASIR RIS,1,1993,"{'4 ROOM': 104.0, '5 ROOM': 123.0}",1.36606696993045,103.95873102026,Tampines East MRT,1.189,White Sands,0.242
191 PUNGGOL CTRL,PUNGGOL,0,2004,"{'5 ROOM': 110.0, 'EXECUTIVE': 128.0}",1.39951250463624,103.909752732647,Punggol MRT,1.021,Rivervale Mall,1.003
191A RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 96.0, '5 ROOM': 115.0}",1.39374008288861,103.903484775847,Sengkang MRT,0.918,Rivervale Mall,0.204
191B RIVERVALE DR,SENGKANG,0,2000,"{'4 ROOM': 96.0, '5 ROOM': 115.0}",1.39463128197571,103.903902960834,Sengkang MRT,0.991,Rivervale Mall,0.278
192 BISHAN ST 13,BISHAN,1,1987,{'5 ROOM': 120.0},1.34897431725156,103.851306462341,Bishan MRT,0.266,Junction 8,0.329
192 BT BATOK WEST AVE 6,BUKIT BATOK,0,1997,"{'4 ROOM': 100.0, '5 ROOM': 118.0}",1.34559235229949,103.744789363152,Bukit Batok MRT,0.655,West Mall,0.702
192 PASIR RIS ST 12,PASIR RIS,1,1993,{'5 ROOM': 128.0},1.36624733354053,103.959056947733,Tampines East MRT,1.221,White Sands,0.212
192 PUNGGOL CTRL,PUNGGOL,0,2004,"{'5 ROOM': 112.0, 'EXECUTIVE': 128.0}",1.39977092552222,103.90951433139,Punggol MRT,0.983,Rivervale Mall,1.012
192A RIVERVALE DR,SENGKANG,0,2000,{'5 ROOM': 115.0},1.39432549389416,103.90346799803,Sengkang MRT,0.934,Rivervale Mall,0.262
192B RIVERVALE DR,SENGKANG,0,2000,{'5 ROOM': 115.0},1.39421976611946,103.903053742835,Sengkang MRT,0.887,Rivervale Mall,0.275
192C RIVERVALE DR,SENGKANG,0,2000,{'5 ROOM': 115.0},1.39463674854545,103.902948600159,Sengkang MRT,0.892,Rivervale Mall,0.32
193 BISHAN ST 13,BISHAN,1,1987,"{'3 ROOM': 64.0, '4 ROOM': 83.0}",1.34866564535341,103.850977151715,Bishan MRT,0.281,Junction 8,0.319
193 BT BATOK WEST AVE 6,BUKIT BATOK,0,1997,{'4 ROOM': 100.0},1.34600894344315,103.744423616373,Bukit Batok MRT,0.663,West Mall,0.7
193 EDGEFIELD PLAINS,PUNGGOL,0,2003,"{'4 ROOM': 90.0, '5 ROOM': 110.0}",1.3999679293622,103.90901300279,Punggol MRT,0.924,Rivervale Mall,1.001
193 LOR 4 TOA PAYOH,TOA PAYOH,1,1974,{'4 ROOM': 84.0},1.33159005591995,103.851295104405,Toa Payoh MRT,0.437,Square 2,1.447
193 PASIR RIS ST 12,PASIR RIS,1,1993,{'5 ROOM': 126.0},1.36605107630216,103.959389712733,Tampines East MRT,1.217,White Sands,0.17
193 RIVERVALE DR,SENGKANG,0,2001,"{'4 ROOM': 91.0, '5 ROOM': 111.0}",1.3932795324994,103.901941660487,Sengkang MRT,0.739,Rivervale Mall,0.306
194 BISHAN ST 13,BISHAN,1,1987,"{'5 ROOM': 121.0, 'EXECUTIVE': 163.0}",1.34829912335443,103.851419417474,Bishan MRT,0.338,Junction 8,0.382
194 KIM KEAT AVE,TOA PAYOH,1,1973,{'3 ROOM': 66.0},1.33093933675526,103.858181909317,Toa Payoh MRT,1.202,The Poiz Centre,1.117
194 PASIR RIS ST 12,PASIR RIS,1,1993,"{'4 ROOM': 105.0, '5 ROOM': 140.0}",1.36598903322534,103.959675291333,Tampines East MRT,1.225,White Sands,0.138
194 RIVERVALE DR,SENGKANG,0,2001,"{'4 ROOM': 91.0, '5 ROOM': 111.0}",1.39260955810937,103.901592560709,Sengkang MRT,0.687,Rivervale Mall,0.323
194A BT BATOK WEST AVE 6,BUKIT BATOK,0,2017,"{'4 ROOM': 92.0, '5 ROOM': 112.0}",1.34468050128788,103.7455138661,Bukit Batok MRT,0.661,West Mall,0.729
194B BT BATOK WEST AVE 6,BUKIT BATOK,0,2017,"{'3 ROOM': 68.0, '4 ROOM': 92.0, '5 ROOM': 115.0}",1.34513283900191,103.744861953262,Bukit Batok MRT,0.679,West Mall,0.734
